phase,dataset,n,mode,k,topk,minlen,maxlen,rep,runtime_ms,patterns,pair_attempts,compatible_pairs,pdub_prunes,dub_prunes,aligned_checks,peak_heap_mb
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,0,7.073800,50,84,232,0,201,106217,25.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,1,5.758100,50,84,232,0,201,106217,27.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,2,5.631100,50,84,232,0,201,106217,27.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,3,5.608800,50,84,232,0,201,106217,29.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,4,4.505500,50,84,232,0,201,106217,31.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,5,4.724400,50,84,232,0,201,106217,33.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,6,3.753700,50,84,232,0,201,106217,35.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,7,5.155100,50,84,232,0,201,106217,35.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,8,4.409500,50,84,232,0,201,106217,37.143
ablation,DB1_Amazon.txt,5842,tk-no-pdub,0.00017117425539198904,50,2,12,9,4.385400,50,84,232,0,201,106217,39.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,0,7.759700,50,84,232,79,105,95480,47.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,1,9.023700,50,84,232,79,105,95480,49.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,2,7.460000,50,84,232,79,105,95480,51.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,3,7.850500,50,84,232,79,105,95480,53.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,4,7.638100,50,84,232,79,105,95480,53.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,5,6.993100,50,84,232,79,105,95480,55.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,6,10.008400,50,84,232,79,105,95480,57.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,7,11.362500,50,84,232,79,105,95480,59.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,8,5.360400,50,84,232,79,105,95480,59.143
ablation,DB1_Amazon.txt,5842,tk-naive,0.00017117425539198904,50,2,12,9,5.504700,50,84,232,79,105,95480,61.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,0,6.374900,50,84,232,79,105,95480,69.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,1,8.098500,50,84,232,79,105,95480,71.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,2,4.426500,50,84,232,79,105,95480,73.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,3,4.741400,50,84,232,79,105,95480,75.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,4,4.015200,50,84,232,79,105,95480,75.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,5,4.517900,50,84,232,79,105,95480,77.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,6,6.339900,50,84,232,79,105,95480,79.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,7,7.137000,50,84,232,79,105,95480,79.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,8,8.230900,50,84,232,79,105,95480,81.143
ablation,DB1_Amazon.txt,5842,tk,0.00017117425539198904,50,2,12,9,7.927300,50,84,232,79,105,95480,83.143
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,0,7.558200,50,84,224,0,192,153785,101.143
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,1,5.307100,50,84,224,0,192,153785,6.074
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,2,5.768500,50,84,224,0,192,153785,8.201
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,3,6.067000,50,84,224,0,192,153785,10.074
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,4,3.926700,50,84,224,0,192,153785,12.201
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,5,3.251500,50,84,224,0,192,153785,14.340
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,6,3.304400,50,84,224,0,192,153785,18.063
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,7,3.195900,50,84,224,0,192,153785,20.201
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,8,3.545600,50,84,224,0,192,153785,22.063
ablation,DB2_Russell2000.txt,8141,tk-no-pdub,0.00012283503255128362,50,2,12,9,3.599100,50,84,224,0,192,153785,24.203
ablation,DB2_Russell2000.txt,8141,tk-naive,0.00012283503255128362,50,2,12,0,5.948100,50,84,224,70,106,138862,36.201
ablation,DB2_Russell2000.txt,8141,tk-naive,0.00012283503255128362,50,2,12,1,4.422100,50,84,224,70,106,138862,38.065
ablation,DB2_Russell2000.txt,8141,tk-naive,0.00012283503255128362,50,2,12,2,3.872000,50,84,224,70,106,138862,40.203
ablation,DB2_Russell2000.txt,8141,tk-naive,0.00012283503255128362,50,2,12,3,6.181900,50,84,224,70,106,138862,42.066
ablation,DB2_Russell2000.txt,8141,tk-naive,0.00012283503255128362,50,2,12,4,3.928300,50,84,224,70,106,138862,44.203
