dataset	mode	sha256	npat	aligned	pdub_prunes	dub_prunes
DB1_Amazon.txt	tk-no-pdub	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd	50	106217	0	201
DB1_Amazon.txt	tk-naive	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd	50	95480	79	105
DB1_Amazon.txt	tk	d0c15569482c9c684202e60d14a40deabe2a88da1601241cbc466ec68c5a6abd	50	95480	79	105
DB2_Russell2000.txt	tk-no-pdub	64bbdea32c4e27c3d3dcf3eed6818e9934927f5ff9f4594c0bac38c3badc326f	50	153785	0	192
DB2_Russell2000.txt	tk-naive	64bbdea32c4e27c3d3dcf3eed6818e9934927f5ff9f4594c0bac38c3badc326f	50	138862	70	106
DB2_Russell2000.txt	tk	64bbdea32c4e27c3d3dcf3eed6818e9934927f5ff9f4594c0bac38c3badc326f	50	138862	70	106
DB3_Nasdaq.txt	tk-no-pdub	0915e603170893fa760aa5d0320513e8745b114f6f975116c6023c5489a46c35	50	234654	0	191
DB3_Nasdaq.txt	tk-naive	0915e603170893fa760aa5d0320513e8745b114f6f975116c6023c5489a46c35	50	206420	74	99
DB3_Nasdaq.txt	tk	0915e603170893fa760aa5d0320513e8745b114f6f975116c6023c5489a46c35	50	206420	74	99
DB4_SP500.txt	tk-no-pdub	e7c6103de08951e4786d645638cc96b015c13fa5c65188454d2d3720fe4e31ae	50	414148	0	197
DB4_SP500.txt	tk-naive	e7c6103de08951e4786d645638cc96b015c13fa5c65188454d2d3720fe4e31ae	50	374157	71	108
DB4_SP500.txt	tk	e7c6103de08951e4786d645638cc96b015c13fa5c65188454d2d3720fe4e31ae	50	374157	71	108
DB5_NYSE.txt	tk-no-pdub	e1fee17531263d33c213d808ded2374f675b65ef8fdcd32974eae1dfb09a58eb	50	1037500	0	216
DB5_NYSE.txt	tk-naive	e1fee17531263d33c213d808ded2374f675b65ef8fdcd32974eae1dfb09a58eb	50	934774	95	104
DB5_NYSE.txt	tk	e1fee17531263d33c213d808ded2374f675b65ef8fdcd32974eae1dfb09a58eb	50	934774	95	104
DB6_CL_US.txt	tk-no-pdub	f70977ab98ed7b78acb6dd1183b48ba7047b5ce161d5ed91cb31840c2c01aee2	50	146804	0	187
DB6_CL_US.txt	tk-naive	f70977ab98ed7b78acb6dd1183b48ba7047b5ce161d5ed91cb31840c2c01aee2	50	135185	68	105
DB6_CL_US.txt	tk	f70977ab98ed7b78acb6dd1183b48ba7047b5ce161d5ed91cb31840c2c01aee2	50	135185	68	105
DB7_HPQ_US.txt	tk-no-pdub	6b276b3fa8322c05a1a632589da2e0eb260629a961f2b68aac599e5ada222ea3	50	175087	0	188
DB7_HPQ_US.txt	tk-naive	6b276b3fa8322c05a1a632589da2e0eb260629a961f2b68aac599e5ada222ea3	50	162972	61	112
DB7_HPQ_US.txt	tk	6b276b3fa8322c05a1a632589da2e0eb260629a961f2b68aac599e5ada222ea3	50	162972	61	112
DB8_GE_US.txt	tk-no-pdub	a8601770c3d16d7b4b9d219471f05b90239618bddbff67ad23461c7bb4364f1b	50	170180	0	201
DB8_GE_US.txt	tk-naive	a8601770c3d16d7b4b9d219471f05b90239618bddbff67ad23461c7bb4364f1b	50	156966	77	107
DB8_GE_US.txt	tk	a8601770c3d16d7b4b9d219471f05b90239618bddbff67ad23461c7bb4364f1b	50	156966	77	107
SILSO_sunspots.txt	tk-no-pdub	59a83210497b3c19cf7b6c6c92c197066f15fe0253b011a68de6567fa62fb36d	50	954222	0	193
SILSO_sunspots.txt	tk-naive	59a83210497b3c19cf7b6c6c92c197066f15fe0253b011a68de6567fa62fb36d	50	878796	68	109
SILSO_sunspots.txt	tk	59a83210497b3c19cf7b6c6c92c197066f15fe0253b011a68de6567fa62fb36d	50	878796	68	109
NASDAQCOM.txt	tk-no-pdub	054b314ca2f8a9935c217cfd7f2024ab964e35856145986c2503541d9c6d2445	50	265292	0	184
NASDAQCOM.txt	tk-naive	054b314ca2f8a9935c217cfd7f2024ab964e35856145986c2503541d9c6d2445	50	239551	63	106
NASDAQCOM.txt	tk	054b314ca2f8a9935c217cfd7f2024ab964e35856145986c2503541d9c6d2445	50	239551	63	106
FRED_SP500.txt	tk-no-pdub	1a3c473e462fc227f576b2cb0040add9e3cebbc562854a26cc49557bf4801cac	50	46551	0	194
FRED_SP500.txt	tk-naive	1a3c473e462fc227f576b2cb0040add9e3cebbc562854a26cc49557bf4801cac	50	41748	79	103
FRED_SP500.txt	tk	1a3c473e462fc227f576b2cb0040add9e3cebbc562854a26cc49557bf4801cac	50	41748	79	103
