phase,dataset,n,mode,k,topk,minlen,maxlen,rep,runtime_ms,patterns,pair_attempts,compatible_pairs,pdub_prunes,dub_prunes,aligned_checks,peak_heap_mb
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,0,187.318800,50,57592,130421,0,0,2226803,402.233
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,1,216.345200,50,57592,130421,0,0,2226803,532.233
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,2,195.805500,50,57592,130421,0,0,2226803,660.233
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,3,201.983600,50,57592,130421,0,0,2226803,784.233
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,4,204.294000,50,57592,130421,0,0,2226803,912.233
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,5,197.849200,50,57592,130421,0,0,2226803,1038.233
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,6,187.788800,50,57592,130421,0,0,2226803,1166.233
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,7,180.065400,50,57592,130421,0,0,2226803,1224.233
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,8,160.012100,50,57592,130421,0,0,2226803,208.210
public,SILSO_sunspots.txt,72967,hjtopk,1.3704825469047652e-05,50,2,12,9,168.285300,50,57592,130421,0,0,2226803,336.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,0,12.294700,50,83,224,0,193,954222,406.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,1,12.354300,50,83,224,0,193,954222,418.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,2,13.151700,50,83,224,0,193,954222,430.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,3,12.808500,50,83,224,0,193,954222,442.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,4,12.013800,50,83,224,0,193,954222,452.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,5,12.034000,50,83,224,0,193,954222,464.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,6,12.849500,50,83,224,0,193,954222,476.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,7,12.933000,50,83,224,0,193,954222,488.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,8,11.661800,50,83,224,0,193,954222,500.210
public,SILSO_sunspots.txt,72967,tk-no-pdub,1.3704825469047652e-05,50,2,12,9,12.181900,50,83,224,0,193,954222,510.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,0,19.073400,50,83,224,68,109,878796,578.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,1,12.814300,50,83,224,68,109,878796,590.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,2,12.630200,50,83,224,68,109,878796,600.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,3,13.568100,50,83,224,68,109,878796,612.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,4,12.493300,50,83,224,68,109,878796,624.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,5,12.722100,50,83,224,68,109,878796,634.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,6,13.874100,50,83,224,68,109,878796,646.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,7,12.871200,50,83,224,68,109,878796,656.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,8,12.155400,50,83,224,68,109,878796,668.210
public,SILSO_sunspots.txt,72967,tk,1.3704825469047652e-05,50,2,12,9,12.136400,50,83,224,68,109,878796,680.210
